repdomains,log2val,norm,strands,direction,window_number
ERD,-7.19143341231352,0.00684168115994589,+,Right Replicating,99
ERD,-7.19270418794948,0.00683565742415246,-,Right Replicating,100
ERD,-7.24767532230935,0.00658009750561211,+,Right Replicating,100
ERD,-7.088736400574,0.00734645312843448,-,Left Replicating,-80
ERD,-6.99042959935762,0.00786449803061977,+,Left Replicating,-80
ERD,-7.01077169753512,0.0077543861901234,-,Left Replicating,-79
ERD,-6.9034180390537,0.00835341576598364,+,Left Replicating,-79
ERD,-7.49270138601002,0.00555228990684322,-,Left Replicating,-78
ERD,-6.89378935854686,0.0084093536973822,+,Left Replicating,-78
ERD,-7.40895907365213,0.00588411405336606,-,Left Replicating,-77
ERD,-7.15985890788009,0.00699306723841204,+,Left Replicating,-77
ERD,-7.00027507453584,0.00781101055497549,-,Left Replicating,-76
ERD,-7.0215764291148,0.00769652843082384,+,Left Replicating,-76
ERD,-7.35513273990917,0.00610779459332913,-,Left Replicating,-75
ERD,-7.13742756102064,0.00710264669558134,+,Left Replicating,-75
ERD,-7.45062546654195,0.0057166058330627,-,Left Replicating,-74
ERD,-7.51657732106334,0.00546115825255025,+,Left Replicating,-74
ERD,-7.09172142970468,0.0073312685572218,-,Left Replicating,-73
ERD,-7.15746439273971,0.00700468362917352,+,Left Replicating,-73
ERD,-7.31955524775502,0.00626028803508561,-,Left Replicating,-72
ERD,-7.18325039269647,0.00688059769213288,+,Left Replicating,-72
ERD,-7.28342819156827,0.00641903351276297,-,Left Replicating,-98
ERD,-7.44105568193269,0.00575465166319561,+,Left Replicating,-98
ERD,-7.43046088427827,0.00579706796689653,-,Left Replicating,-71
ERD,-6.83345106715626,0.00876851915183852,+,Left Replicating,-71
ERD,-7.13473397016418,0.00711592011419711,-,Left Replicating,-70
ERD,-6.64236879819683,0.0100103151292249,+,Left Replicating,-70
ERD,-7.02965104997936,0.00765357204900332,-,Left Replicating,-69
ERD,-6.77457112466691,0.00913378708577795,+,Left Replicating,-69
ERD,-7.14935934310265,0.00704414663553506,-,Left Replicating,-68
ERD,-7.19647138254284,0.00681783130074404,+,Left Replicating,-68
ERD,-7.06241225639758,0.0074817306497224,-,Left Replicating,-67
ERD,-7.04347092077886,0.00758060694909258,+,Left Replicating,-67
ERD,-6.91879767082162,0.00826483841516329,-,Left Replicating,-66
ERD,-7.19178865348058,0.00683999670999232,+,Left Replicating,-66
ERD,-7.35078071018656,0.00612624716697928,-,Left Replicating,-65
ERD,-7.28775361383221,0.00639981708148226,+,Left Replicating,-65
ERD,-7.25546836600871,0.00654464944661834,-,Left Replicating,-64
ERD,-6.84355238601611,0.00870733903762736,+,Left Replicating,-64
ERD,-7.23200833853831,0.00665194364454535,-,Left Replicating,-63
ERD,-6.89321712845627,0.00841268984227064,+,Left Replicating,-63
ERD,-7.10032435277214,0.00728768161492791,-,Left Replicating,-62
ERD,-6.83396683531822,0.00876538493804704,+,Left Replicating,-62
ERD,-7.3418647166979,0.00616422519409613,-,Left Replicating,-97
ERD,-7.35418373218936,0.0061118136347047,+,Left Replicating,-97
ERD,-7.12169707979059,0.00718051442423706,-,Left Replicating,-61
ERD,-7.29181741813604,0.00638181534963074,+,Left Replicating,-61
ERD,-7.56603599675711,0.0052771108466144,-,Left Replicating,-60
ERD,-7.06094304871149,0.00748935375431178,+,Left Replicating,-60
ERD,-7.36969600633521,0.00604644968343612,-,Left Replicating,-59
ERD,-7.01342822602215,0.00774012067105236,+,Left Replicating,-59
ERD,-7.32953310923887,0.00621714046976092,-,Left Replicating,-58
ERD,-6.92099286163875,0.00825227227966702,+,Left Replicating,-58
ERD,-7.04201778986297,0.00758824623772811,-,Left Replicating,-57
ERD,-6.81696381270809,0.0088693013899714,+,Left Replicating,-57
ERD,-6.91098725142825,0.00830970368648498,-,Left Replicating,-56
ERD,-6.9389118464025,0.00815040888957469,+,Left Replicating,-56
ERD,-6.98381351375123,0.00790064682235703,-,Left Replicating,-55
ERD,-7.03592322913674,0.00762037003901327,+,Left Replicating,-55
ERD,-6.83331555829965,0.00876934279632018,-,Left Replicating,-54
ERD,-6.98682606864213,0.00788416634745069,+,Left Replicating,-54
ERD,-7.12817819527923,0.00714832926660996,-,Left Replicating,-53
ERD,-7.11130251148846,0.0072324366086224,+,Left Replicating,-53
ERD,-7.12777470064902,0.00715032879927195,-,Left Replicating,-52
ERD,-6.79939626373576,0.00897796219286084,+,Left Replicating,-52
ERD,-7.20097568929483,0.00679657822050923,-,Left Replicating,-96
ERD,-7.34915715179362,0.00613314531138464,+,Left Replicating,-96
ERD,-7.14636411194019,0.00705878643405175,-,Left Replicating,-51
ERD,-6.85256523887666,0.00865311181848408,+,Left Replicating,-51
ERD,-7.14093601259749,0.00708539494413,-,Left Replicating,-50
ERD,-6.98025585820641,0.00792015369267892,+,Left Replicating,-50
ERD,-7.22298150905409,0.00669369481381147,-,Left Replicating,-49
ERD,-6.87614043457374,0.008512859679004,+,Left Replicating,-49
ERD,-6.8140007375101,0.00888753629941713,-,Left Replicating,-48
ERD,-6.93728894462614,0.00815958252311979,+,Left Replicating,-48
