repdomains,log2val,sample_strand,direction,windows
LRD,-0.873223156427063,-,Right Replicating,13
LRD,-0.758281559039798,+,Right Replicating,13
ERD,0.0792211673102981,-,Right Replicating,14
ERD,0.126684923801649,+,Right Replicating,14
LRD,-0.647273391388536,-,Right Replicating,14
LRD,-0.925780458314099,+,Right Replicating,14
ERD,0.271905623858642,-,Right Replicating,15
ERD,0.180333307469464,+,Right Replicating,15
LRD,-0.83569555131746,-,Right Replicating,15
LRD,-0.995612678028029,+,Right Replicating,15
ERD,0.0636138686570573,-,Right Replicating,16
ERD,0.159365335808658,+,Right Replicating,16
LRD,-0.698061790111497,-,Right Replicating,16
LRD,-0.711503882391384,+,Right Replicating,16
ERD,0.10812114027141,-,Right Replicating,17
ERD,0.207710417859195,+,Right Replicating,17
LRD,-0.559471237415602,-,Right Replicating,17
LRD,-1.02560797750148,+,Right Replicating,17
ERD,0.100705169275893,-,Right Replicating,18
ERD,0.0465678387497178,+,Right Replicating,18
LRD,-0.78987821942673,-,Right Replicating,18
LRD,-0.743048576690446,+,Right Replicating,18
ERD,0.0427638608803134,-,Right Replicating,19
ERD,0.0645026420524142,+,Right Replicating,19
LRD,-0.437479768798278,-,Right Replicating,19
LRD,-0.735969519798899,+,Right Replicating,19
ERD,0.12517663409982,-,Right Replicating,2
ERD,0.274518893409892,+,Right Replicating,2
LRD,-0.706061240594546,-,Right Replicating,2
LRD,-0.861330058170449,+,Right Replicating,2
ERD,0.101300406477841,-,Right Replicating,20
ERD,0.062823462266149,+,Right Replicating,20
LRD,-0.801095205132544,-,Right Replicating,20
LRD,-1.06606492033208,+,Right Replicating,20
ERD,0.0884264434165806,-,Right Replicating,21
ERD,0.0590127641184946,+,Right Replicating,21
LRD,-0.456565474983263,-,Right Replicating,21
LRD,-1.04722096654766,+,Right Replicating,21
ERD,0.218278782753971,-,Right Replicating,22
ERD,0.108042579822893,+,Right Replicating,22
LRD,-0.59315126176143,-,Right Replicating,22
LRD,-0.846242248029397,+,Right Replicating,22
ERD,-0.0590215889854538,-,Right Replicating,23
ERD,0.149015282631615,+,Right Replicating,23
LRD,-0.892229491273424,-,Right Replicating,23
LRD,-0.533397142457612,+,Right Replicating,23
ERD,0.0624736894220091,-,Right Replicating,24
ERD,0.205909299103344,+,Right Replicating,24
LRD,-0.580899230390263,-,Right Replicating,24
LRD,-0.737291051355981,+,Right Replicating,24
ERD,0.0328497809299644,-,Right Replicating,25
ERD,0.204104224213108,+,Right Replicating,25
LRD,-0.487360536440833,-,Right Replicating,25
LRD,-0.982386864568048,+,Right Replicating,25
ERD,0.101768127928608,-,Right Replicating,26
ERD,0.178766864664004,+,Right Replicating,26
LRD,-0.61600254670529,-,Right Replicating,26
LRD,-0.874542957884459,+,Right Replicating,26
ERD,-0.00492234800822187,-,Right Replicating,27
ERD,0.131469938363524,+,Right Replicating,27
LRD,-0.829782114008829,-,Right Replicating,27
LRD,-0.941306714730766,+,Right Replicating,27
ERD,0.178436070452256,-,Right Replicating,28
ERD,0.145941562796124,+,Right Replicating,28
LRD,-0.470610937079037,-,Right Replicating,28
LRD,-1.07605628936489,+,Right Replicating,28
ERD,0.152252344871155,-,Right Replicating,29
ERD,-0.193923790586571,+,Right Replicating,29
LRD,-1.01529273863053,-,Right Replicating,29
LRD,-0.744016201627685,+,Right Replicating,29
ERD,0.193656040900759,-,Right Replicating,3
ERD,0.137016741801614,+,Right Replicating,3
LRD,-0.680714464122191,-,Right Replicating,3
LRD,-0.815827559841958,+,Right Replicating,3
ERD,0.0151055716285056,-,Right Replicating,30
ERD,0.127913107114179,+,Right Replicating,30
LRD,-0.427672656414253,-,Right Replicating,30
LRD,-1.05562797946388,+,Right Replicating,30
ERD,-0.0922792772801447,-,Right Replicating,31
ERD,0.0623664708206785,+,Right Replicating,31
LRD,-0.531848266426414,-,Right Replicating,31
LRD,-1.03899853578315,+,Right Replicating,31
ERD,0.0450367590285962,-,Right Replicating,32
ERD,-0.121545488077937,+,Right Replicating,32
LRD,-0.629296276588969,-,Right Replicating,32
LRD,-0.912619415457565,+,Right Replicating,32
ERD,0.16667916009883,-,Right Replicating,33
ERD,0.118267511661878,+,Right Replicating,33
LRD,-0.612965058561112,-,Right Replicating,33
LRD,-0.786457234270492,+,Right Replicating,33
ERD,0.181484041220687,-,Right Replicating,34
ERD,0.127605240718739,+,Right Replicating,34
LRD,-0.842710155693097,-,Right Replicating,34
LRD,-1.03561057836444,+,Right Replicating,34
ERD,0.26246734254643,-,Right Replicating,35
ERD,0.0620695565635382,+,Right Replicating,35
LRD,-0.643219948352069,-,Right Replicating,35
LRD,-0.857630006890135,+,Right Replicating,35
ERD,0.0798298763245903,-,Right Replicating,36
ERD,0.210381788970606,+,Right Replicating,36
LRD,-0.434378464222582,-,Right Replicating,36
LRD,-0.755509224216404,+,Right Replicating,36
ERD,0.19251769605758,-,Right Replicating,37
ERD,0.0744132955492933,+,Right Replicating,37
LRD,-0.804639092710627,-,Right Replicating,37
LRD,-0.903399159500119,+,Right Replicating,37
ERD,-0.034902630779583,-,Right Replicating,38
ERD,0.113176163172602,+,Right Replicating,38
LRD,-0.264916598836392,-,Right Replicating,38
LRD,-0.972894421287128,+,Right Replicating,38
ERD,0.0541222320728475,-,Right Replicating,39
