dataset,chromosomes,start_position,end_position,score,dataset_strand,counts,sample_names,file_names,layout,cell_line,product,method,uv_exposure,treatment,phase,time_after_exposure,replicate,project,sample_source,sample_strand,mapped_reads,RPKM,windows,repdomains
iz,.,0,100,0,.,0.866197183098592,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,+,32662652,0.265194994913025,14,ERD
iz,.,0,100,0,.,0.839906103286385,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,-,32662652,0.257145715934635,14,ERD
iz,.,0,100,0,.,0.650704225352113,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,29510176,0.220501641654768,14,ERD
iz,.,0,100,0,.,0.767136150234742,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,29510176,0.259956480854178,15,ERD
iz,.,0,100,0,.,0.83943661971831,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,+,32662652,0.257001978810021,15,ERD
iz,.,0,100,0,.,0.731455399061033,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,29510176,0.247865481744681,15,ERD
iz,.,0,100,0,.,0.863849765258216,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,-,32662652,0.264476309289955,15,ERD
iz,.,0,100,0,.,0.862910798122066,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,+,32662652,0.264188835040727,16,ERD
iz,.,0,100,0,.,0.711267605633803,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,29510176,0.241024521722203,16,ERD
iz,.,0,100,0,.,0.846948356807512,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,-,32662652,0.259301772803847,16,ERD
iz,.,0,100,0,.,0.707511737089202,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,29510176,0.239751784973835,16,ERD
iz,.,0,100,0,.,0.874178403755869,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,+,32662652,0.267638526031465,17,ERD
iz,.,0,100,0,.,0.694835680751174,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,29510176,0.235456298448093,17,ERD
iz,.,0,100,0,.,0.748826291079812,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,29510176,0.253751889205883,17,ERD
iz,.,0,100,0,.,0.840845070422535,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,-,32662652,0.257433190183864,17,ERD
iz,.,0,100,0,.,0.889201877934272,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,-,32662652,0.272238114019116,18,ERD
iz,.,0,100,0,.,0.753990610328638,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,29510176,0.25550190223489,18,ERD
iz,.,0,100,0,.,0.731924882629108,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,29510176,0.248024573838227,18,ERD
iz,.,0,100,0,.,0.87887323943662,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,+,32662652,0.269075897277606,18,ERD
iz,.,0,100,0,.,0.708920187793427,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,29510176,0.240229061254473,-89,ERD
iz,.,0,100,0,.,0.884507042253521,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,-,32662652,0.270800742772975,-89,ERD
iz,.,0,100,0,.,0.876056338028169,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,+,32662652,0.268213474529922,-89,ERD
iz,.,0,100,0,.,0.743192488262911,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,29510176,0.251842784083331,-89,ERD
iz,.,0,100,0,.,0.754929577464789,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,29510176,0.255820086421982,19,ERD
iz,.,0,100,0,.,0.838967136150235,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,-,32662652,0.256858241685407,19,ERD
iz,.,0,100,0,.,0.863380281690141,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,+,32662652,0.264332572165341,19,ERD
iz,.,0,100,0,.,0.725821596244131,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,29510176,0.245956376622129,19,ERD
iz,.,0,100,0,.,0.886854460093897,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,-,32662652,0.271519428396046,20,ERD
iz,.,0,100,0,.,0.855868544600939,Hela_64_XR_NA_early_12_NA,HXE64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,_,repair_replication,Sancar,+,32662652,0.262032778171515,20,ERD
iz,.,0,100,0,.,0.722535211267606,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,+,29510176,0.244842731967307,20,ERD
iz,.,0,100,0,.,0.728638497652582,Hela_64_XR_NA_late_12_NA,HXL64_comb,single,HeLa_S3,64_PP,XR_seq,20J,NA,late,12,_,repair_replication,Sancar,-,29510176,0.246910929183405,20,ERD
