dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,xr_ds,windows
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20409789712931,54
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.53793109125427,54
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.23189339915482,55
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52735867592504,55
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.17468638811956,55
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.51458188162552,55
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.21644037239506,56
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52517691706935,56
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.16443057281253,56
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.49070408305906,56
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.2586503905613,57
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.4944988452247,57
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18304892172697,57
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.54435737311051,57
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.2388302994529,58
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52573919284449,58
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.14868604474645,58
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.42085371655737,58
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.16566796362897,-85
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.40154834789564,-85
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.16371839261201,-85
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.41451156238117,-85
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24594371585791,59
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.4711917243239,59
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18114504024194,59
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.53586086708414,59
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24732890091759,60
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.49695803614599,60
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.17654630373149,60
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.48715455757218,60
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.21788681656502,61
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.48314553491189,61
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.17956420156233,61
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.52073842233701,61
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.24094150339202,62
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.52694566982787,62
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.18803224539656,62
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.48957014831589,62
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.21050069313429,63
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.49159012235307,63
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.16261901404404,63
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.49406209386396,63
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.23158232315795,64
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.5296317766859,64
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.17411903789904,64
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.4912320811682,64
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.22214201951282,65
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.51108584042823,65
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.20255119004421,65
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.54105241805523,65
TSS,.,0,100,0,NTS,64_PP,early,12,.,_,1.19207784202066,66
TSS,.,0,100,0,NTS,CPD,early,12,.,_,1.53810541628665,66
TSS,.,0,100,0,TS,64_PP,early,12,.,_,1.17626069455065,66
TSS,.,0,100,0,TS,CPD,early,12,.,_,1.4884678983224,66
