dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,xr_ds,windows,sample
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24538112860075,85,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.53797420444879,85,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.22450550992643,86,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.53637466510875,86,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23426804601727,87,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.56838470721108,87,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26405889581676,88,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.55261073125374,88,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.27155089404626,-82,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.19129408714517,-82,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23757963456431,89,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.54879112423861,89,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24382303111171,90,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58022577556996,90,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24477635818546,91,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.58341351490176,91,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23341090575008,92,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.5744941430091,92,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.228104310241,93,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.53875815506697,93,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24593432279339,94,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.55507197044722,94,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.23635853474479,95,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.51901428255921,95,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.26051250356833,96,CPD 120 min.
TSS,.,0,100,0,TS,CPD,early,120,.,_,1.55150020668518,96,CPD 120 min.
TSS,.,0,100,0,NTS,CPD,early,120,.,_,1.24734633831281,97,CPD 120 min.
