repdomains,log2val,sample_strand,direction,windows
ERD,-0.149097382272849,+,Left Replicating,-75
LRD,-0.706599433312721,-,Left Replicating,-75
LRD,-0.362922324343903,+,Left Replicating,-75
ERD,-0.0910549373581461,-,Left Replicating,-76
ERD,-0.190149704800035,+,Left Replicating,-76
LRD,-0.71174759377625,-,Left Replicating,-76
LRD,-0.173093574791108,+,Left Replicating,-76
ERD,-0.149693912815597,-,Left Replicating,-77
ERD,0.0183078575978053,+,Left Replicating,-77
LRD,-0.588400118586596,-,Left Replicating,-77
LRD,-0.380139808648849,+,Left Replicating,-77
ERD,-0.178306874628707,-,Left Replicating,-78
ERD,0.0488929918053545,+,Left Replicating,-78
LRD,-0.643366369469851,-,Left Replicating,-78
LRD,-0.221796209895202,+,Left Replicating,-78
ERD,-0.0692784546465713,-,Left Replicating,-79
ERD,0.0645054927817892,+,Left Replicating,-79
LRD,-0.706378784610961,-,Left Replicating,-79
LRD,-0.342073135845653,+,Left Replicating,-79
ERD,-0.168719862253135,-,Left Replicating,-8
ERD,-0.124186830396779,+,Left Replicating,-8
LRD,-0.625859529629506,-,Left Replicating,-8
LRD,-0.0773408291185332,+,Left Replicating,-8
ERD,-0.263583775221957,-,Left Replicating,-80
ERD,-0.21600233538326,+,Left Replicating,-80
LRD,-0.423729247514055,-,Left Replicating,-80
LRD,-0.370016158554966,+,Left Replicating,-80
ERD,-0.100617545544963,-,Left Replicating,-81
ERD,-0.221342709463986,+,Left Replicating,-81
LRD,-0.71110768060032,-,Left Replicating,-81
LRD,-0.496916749323535,+,Left Replicating,-81
ERD,0.0485094379589612,-,Left Replicating,-82
ERD,-0.0215982128245938,+,Left Replicating,-82
LRD,-0.619931860281551,-,Left Replicating,-82
LRD,-0.333062136590086,+,Left Replicating,-82
ERD,-0.0423116870085152,-,Left Replicating,-83
ERD,-0.0220834549511046,+,Left Replicating,-83
LRD,-0.716830743852672,-,Left Replicating,-83
LRD,-0.272566107272911,+,Left Replicating,-83
ERD,-0.208578833269159,-,Left Replicating,-84
ERD,-0.038217124327105,+,Left Replicating,-84
LRD,-0.817075921832029,-,Left Replicating,-84
LRD,-0.147800764046645,+,Left Replicating,-84
ERD,-0.179404282501248,-,Left Replicating,-85
ERD,-0.23063211303721,+,Left Replicating,-85
LRD,-0.712044279938471,-,Left Replicating,-85
LRD,-0.1207094136016,+,Left Replicating,-85
ERD,-0.172221939887732,-,Left Replicating,-86
ERD,-0.240833930643878,+,Left Replicating,-86
LRD,-0.847395445811052,-,Left Replicating,-86
LRD,-0.237784971029727,+,Left Replicating,-86
ERD,-0.0161461203183336,-,Left Replicating,-87
ERD,0.212411731967922,+,Left Replicating,-87
LRD,-0.730151528329357,-,Left Replicating,-87
LRD,-0.264409426887532,+,Left Replicating,-87
ERD,-0.24757869397709,-,Left Replicating,-88
ERD,-0.153135445483691,+,Left Replicating,-88
LRD,-0.733265457438375,-,Left Replicating,-88
LRD,-0.447618282074056,+,Left Replicating,-88
ERD,-0.166866621055884,-,Left Replicating,-89
ERD,-0.197943628295248,+,Left Replicating,-89
LRD,-0.706399350090578,-,Left Replicating,-89
LRD,-0.00959094187840349,+,Left Replicating,-89
ERD,-0.11359807857062,-,Left Replicating,-9
ERD,-0.204009556606791,+,Left Replicating,-9
LRD,-0.244231325686503,-,Left Replicating,-9
LRD,-0.117504806047008,+,Left Replicating,-9
ERD,-0.129229604485093,-,Left Replicating,-90
ERD,0.00859264641535915,+,Left Replicating,-90
LRD,-0.614499059988395,-,Left Replicating,-90
LRD,-0.367811711406727,+,Left Replicating,-90
ERD,-0.134798473821539,-,Left Replicating,-91
ERD,-0.207493984450602,+,Left Replicating,-91
LRD,-0.656031592388564,-,Left Replicating,-91
LRD,-0.123927446707432,+,Left Replicating,-91
ERD,-0.109243979731915,-,Left Replicating,-92
ERD,-0.0483568803421434,+,Left Replicating,-92
LRD,-0.691125162637589,-,Left Replicating,-92
LRD,-0.107913307381328,+,Left Replicating,-92
ERD,0.00207598317481148,-,Left Replicating,-93
ERD,-0.0237468739769011,+,Left Replicating,-93
LRD,-0.73798672104286,-,Left Replicating,-93
LRD,-0.263269920199418,+,Left Replicating,-93
ERD,-0.104992631696356,-,Left Replicating,-94
ERD,0.0473299398228255,+,Left Replicating,-94
LRD,-0.495743869434618,-,Left Replicating,-94
LRD,-0.178815365521667,+,Left Replicating,-94
ERD,-0.241156706079649,-,Left Replicating,-95
ERD,-0.098234503664757,+,Left Replicating,-95
LRD,-0.589101564669394,-,Left Replicating,-95
LRD,-0.441728722132329,+,Left Replicating,-95
ERD,-0.13536534552816,-,Left Replicating,-96
ERD,-0.072977249829434,+,Left Replicating,-96
LRD,-0.700574537674721,-,Left Replicating,-96
LRD,-0.426484223757552,+,Left Replicating,-96
ERD,-0.0436769478020826,-,Left Replicating,-97
ERD,-0.0688339234785389,+,Left Replicating,-97
LRD,-0.591024430603407,-,Left Replicating,-97
LRD,-0.293890902607808,+,Left Replicating,-97
ERD,-0.239659029732992,-,Left Replicating,-98
ERD,-0.0767573045188916,+,Left Replicating,-98
LRD,-0.696238522241726,-,Left Replicating,-98
LRD,-0.236543305760336,+,Left Replicating,-98
ERD,-0.296428620738912,-,Left Replicating,-99
ERD,-0.209178077561021,+,Left Replicating,-99
LRD,-0.546389078008258,-,Left Replicating,-99
LRD,-0.323237134204866,+,Left Replicating,-99
ERD,-0.21492428769946,-,Right Replicating,1
ERD,-0.231697944585846,+,Right Replicating,1
LRD,-0.211890911182117,-,Right Replicating,1
LRD,0.0297952992939925,+,Right Replicating,1
ERD,-0.121096221536549,-,Right Replicating,10
ERD,-0.233616980353116,+,Right Replicating,10
LRD,-0.154948514031635,-,Right Replicating,10
LRD,-0.0421845849514179,+,Right Replicating,10
ERD,-0.0239220652702558,-,Right Replicating,100
ERD,-0.0725800973899541,+,Right Replicating,100
LRD,-0.389132831554788,-,Right Replicating,100
LRD,-0.851266590432087,+,Right Replicating,100
ERD,-0.0444494258984557,-,Right Replicating,11
ERD,-0.175733355714746,+,Right Replicating,11
LRD,-0.184132878109197,-,Right Replicating,11
LRD,-0.173559180207019,+,Right Replicating,11
ERD,-0.103725551645138,-,Right Replicating,12
ERD,-0.114159827595585,+,Right Replicating,12
LRD,-0.18787569504095,-,Right Replicating,12
LRD,-0.07868600693025,+,Right Replicating,12
